	Gene1 (Latimeria)	Score1	Gene2 (Danio)	Score2
5890	XP_006003591.1	702 	XP_005167474.1	716 
5891	XP_006003595.1	600 	XP_009302704.1	598 
5892	XP_006003597.1	140 	NP_001239302.1	140 
5893	XP_006003598.2	384 	XP_017213451.1	384 
5894	XP_006003599.1	486 	NP_001003783.1	486 
5895	XP_006003604.1	1248	XP_005155620.1	1257
5896	XP_006003605.1	828 	XP_003199363.1	807 
5897	XP_006003609.2	2395	NP_001038240.1	2328
5898	XP_006003610.2	712 	XP_695650.4	700 
5899	XP_006003612.2	398 	NP_997856.1	416 
5900	XP_006003615.1	858 	NP_957467.2	858 
5901	XP_006003631.1	600 	NP_001001406.1	598 
5902	XP_006003632.1	791 	NP_956400.1	791 
5903	XP_006003633.2	288 	XP_001344151.1	273 
5904	XP_006003641.1	174 	XP_009290232.1	174 
5905	XP_006003643.1	358 	XP_021322195.1	383 
5906	XP_006003647.1	148 	NP_001017642.1	148 
5907	XP_006003649.2	156 	XP_021337142.1	136 
5908	XP_006003652.1	910 	XP_021334717.1	928 
5909	XP_006003658.1	318 	XP_021334719.1	312 
5910	XP_006003660.1	1953	NP_001121730.1	1953
5911	XP_006003662.1	518 	XP_017213162.1	518 
5912	XP_006003663.1	302 	NP_001124431.1	295 
5913	XP_006003667.1	423 	XP_021324931.1	423 
5914	XP_006003668.2	312 	NP_001034894.2	277 
5915	XP_006003669.1	125 	NP_001002460.2	125 
5916	XP_006003670.1	447 	XP_021334856.1	446 
5917	XP_006003677.1	284 	XP_005172692.1	251 
5918	XP_006003679.1	630 	XP_009301588.1	653 
5919	XP_006003680.1	218 	NP_001082992.1	218 
5920	XP_006003681.1	925 	NP_957472.1	925 
5921	XP_006003682.1	911 	XP_005169018.1	911 
5922	XP_006003684.1	365 	NP_001092234.1	350 
5923	XP_006003687.1	865 	XP_009301583.1	877 
5924	XP_006003693.1	683 	XP_021336576.1	675 
5925	XP_006003702.1	469 	NP_001003851.1	459 
5926	XP_006003703.1	822 	NP_957372.1	822 
5927	XP_006003705.1	374 	NP_001006081.1	374 
5928	XP_006003711.1	573 	NP_001017862.1	573 
5929	XP_006003714.1	442 	XP_005158720.1	442 
5930	XP_006003715.1	985 	NP_001074125.3	985 
5931	XP_006003716.1	126 	NP_956323.1	135 
5932	XP_006003718.1	494 	NP_001104708.1	494 
5933	XP_006003723.1	497 	NP_001002429.1	479 
5934	XP_006003735.1	619 	NP_001025360.1	619 
5935	XP_006003736.1	506 	NP_956635.1	506 
5936	XP_006003738.1	527 	NP_998354.1	527 
5937	XP_006003739.1	213 	XP_005158642.1	225 
5938	XP_006003740.1	764 	NP_001122199.1	764 
5939	XP_006003742.1	274 	NP_001307157.1	274 
5940	XP_006003746.1	87.8	XP_021324258.1	95.1
5941	XP_006003749.1	601 	NP_571323.1	598 
5942	XP_006003754.1	236 	XP_005173179.1	225 
5943	XP_006003759.1	1705	NP_571531.1	1692
5944	XP_006003760.1	691 	XP_009295864.1	689 
5945	XP_006003761.1	247 	NP_001025398.1	282 
5946	XP_006003764.1	476 	NP_001003728.1	476 
5947	XP_006003767.1	438 	NP_001025433.1	461 
5948	XP_006003771.1	563 	NP_571661.1	563 
5949	XP_006003773.1	691 	XP_021336592.1	691 
5950	XP_006003775.1	514 	NP_001129256.1	514 
5951	XP_006003776.1	416 	NP_571894.2	422 
5952	XP_006003777.1	1514	XP_005171052.1	1502
5953	XP_006003778.1	1991	XP_691382.5	2040
5954	XP_006003779.1	72.8	XP_696046.1	67.8
5955	XP_006003787.1	840 	XP_009299924.1	851 
5956	XP_006003789.1	961 	XP_009299925.1	974 
5957	XP_006003791.1	296 	XP_005165391.1	296 
5958	XP_006003797.1	429 	NP_001007057.1	429 
5959	XP_006003800.1	509 	XP_009289447.1	509 
5960	XP_006003807.1	308 	NP_957417.1	308 
5961	XP_006003816.1	418 	NP_001003457.1	419 
5962	XP_006003818.2	427 	XP_009306082.1	426 
5963	XP_006003819.1	2071	NP_001018116.1	2071
5964	XP_006003823.1	365 	NP_956974.1	365 
5965	XP_006003838.1	830 	XP_005173313.1	838 
5966	XP_006003841.1	733 	XP_009293956.1	707 
5967	XP_006003843.1	61.2	NP_001185680.1	61.2
5968	XP_006003844.1	551 	XP_021336834.1	560 
5969	XP_006003852.1	833 	NP_957369.1	785 
5970	XP_006003859.1	447 	NP_991157.2	447 
5971	XP_006003865.1	1416	XP_005167631.1	1409
5972	XP_006003867.1	385 	XP_001338197.4	370 
5973	XP_006003872.1	400 	XP_017207478.1	403 
5974	XP_006003882.1	89.7	NP_001280600.1	89.7
5975	XP_006003885.1	651 	NP_997771.2	657 
5976	XP_006003891.1	258 	NP_998588.1	258 
5977	XP_006003892.1	333 	NP_956249.1	333 
5978	XP_006003893.1	602 	XP_693713.2	592 
5979	XP_006003898.1	242 	NP_001014347.1	248 
5980	XP_006003899.1	396 	NP_955961.2	384 
5981	XP_006003900.1	1481	NP_001116316.1	1498
5982	XP_006003909.1	333 	XP_002664470.2	337 
5983	XP_006003910.1	411 	XP_001922588.3	438 
5984	XP_006003918.1	109 	NP_001161327.1	108 
5985	XP_006003920.1	363 	NP_957248.1	340 
5986	XP_006003921.1	100 	NP_001002078.1	100 
5987	XP_006003922.1	186 	XP_021336891.1	188 
5988	XP_006003924.1	775 	XP_005173296.1	803 
5989	XP_006003925.1	771 	XP_005173297.1	799 
5990	XP_006003929.1	742 	NP_001004499.3	755 
5991	XP_006003930.1	318 	XP_009289420.1	318 
5992	XP_006003934.1	261 	NP_001007393.1	281 
5993	XP_006003935.1	297 	XP_005173173.1	297 
5994	XP_006003946.1	687 	XP_001340443.6	687 
5995	XP_006003947.1	611 	NP_001003766.1	596 
5996	XP_006003956.1	380 	NP_001004497.2	369 
5997	XP_006003957.1	1663	NP_001120991.2	1644
5998	XP_006003960.1	382 	NP_571092.1	382 
5999	XP_006003961.1	2984	XP_021322791.1	2987
6000	XP_006003963.1	436 	XP_002665206.2	458 
6001	XP_006003964.1	635 	NP_001076483.2	623 
6002	XP_006003965.1	210 	NP_998186.1	210 
6003	XP_006003979.1	161 	XP_017212566.1	161 
6004	XP_006003981.1	1062	NP_001313279.1	1103
6005	XP_006003983.1	1075	NP_001038318.2	1075
6006	XP_006003984.1	203 	NP_001243088.1	203 
6007	XP_006003985.1	617 	XP_017213714.1	607 
6008	XP_006003986.1	611 	XP_009297000.1	602 
6009	XP_006003998.1	480 	NP_957407.1	480 
6010	XP_006004002.1	619 	XP_683016.6	633 
6011	XP_006004004.1	527 	XP_009297217.1	527 
6012	XP_006004005.1	706 	NP_001037782.1	721 
6013	XP_006004007.2	724 	XP_009297474.1	745 
6014	XP_006004009.1	2935	XP_005156263.1	2974
6015	XP_006004010.1	2932	NP_001177949.1	2973
6016	XP_006004013.1	706 	NP_955464.1	695 
6017	XP_006004020.1	289 	NP_001025128.1	289 
6018	XP_006004023.1	438 	NP_956168.1	438 
6019	XP_006004024.1	722 	XP_009305768.1	712 
6020	XP_006004031.1	749 	XP_009294840.1	770 
6021	XP_006004035.1	523 	NP_001002719.1	505 
6022	XP_006004037.1	291 	NP_001269019.1	291 
6023	XP_006004038.1	971 	NP_001070611.1	962 
6024	XP_006004045.1	760 	XP_002666487.2	760 
6025	XP_006004048.1	1035	NP_001034722.1	1030
6026	XP_006004052.1	418 	XP_017213373.2	418 
6027	XP_006004054.2	652 	NP_001116749.1	651 
6028	XP_006004060.2	4254	XP_009298737.1	4264
6029	XP_006004061.1	2860	XP_009301828.1	2873
6030	XP_006004071.1	657 	NP_001038555.1	664 
6031	XP_006004076.1	403 	NP_001038806.1	403 
6032	XP_006004080.1	553 	XP_021334304.1	510 
6033	XP_006004081.1	353 	NP_997990.2	358 
6034	XP_006004085.1	229 	NP_957347.1	510 
6035	XP_006004087.1	624 	NP_001007065.2	617 
6036	XP_006004090.1	91.3	XP_002662920.1	72.0
6037	XP_006004091.1	303 	NP_001002492.1	303 
6038	XP_006004092.1	825 	NP_001017669.2	817 
6039	XP_006004096.1	409 	NP_957107.1	409 
6040	XP_006004097.2	602 	XP_021327694.1	602 
6041	XP_006004099.1	265 	NP_001002449.1	265 
6042	XP_006004104.1	1414	XP_021324388.1	1382
6043	XP_006004105.1	594 	NP_997941.2	594 
6044	XP_006004107.1	117 	NP_001027900.1	117 
6045	XP_006004110.1	155 	NP_001005598.2	155 
6046	XP_006004115.1	821 	XP_021322808.1	821 
6047	XP_006004122.1	599 	NP_919401.1	599 
6048	XP_006004127.1	887 	XP_005167807.1	887 
6049	XP_006004133.1	180 	XP_001340709.1	201 
6050	XP_006004134.1	373 	XP_698522.2	373 
6051	XP_006004137.1	738 	NP_001013465.1	735 
6052	XP_006004140.1	337 	NP_001003636.1	337 
6053	XP_006004142.1	991 	XP_694660.6	961 
6054	XP_006004143.1	225 	XP_001339864.2	225 
6055	XP_006004149.1	889 	NP_956359.1	889 
6056	XP_006004152.1	419 	XP_021336562.1	426 
6057	XP_006004153.1	390 	NP_001231645.1	374 
6058	XP_006004155.2	1286	XP_009295366.1	1242
6059	XP_006004161.2	246 	XP_021323805.1	259 
6060	XP_006004163.1	301 	XP_005168482.1	317 
6061	XP_006004164.1	232 	XP_686931.3	232 
6062	XP_006004177.1	1237	NP_956079.1	1224
6063	XP_006004183.1	1328	NP_937853.1	1309
6064	XP_006004188.1	109 	NP_001129045.1	109 
6065	XP_006004189.2	452 	NP_001018587.1	463 
6066	XP_006004190.1	349 	XP_005168580.1	349 
6067	XP_006004193.1	81.6	NP_001188341.1	81.3
6068	XP_006004200.1	159 	XP_002665267.1	147 
6069	XP_006004205.1	514 	NP_571772.1	514 
6070	XP_006004207.1	135 	NP_997957.1	141 
6071	XP_006004210.1	414 	NP_571098.1	439 
6072	XP_006004211.1	281 	NP_998381.2	227 
6073	XP_006004230.2	609 	XP_021334848.1	600 
6074	XP_006004234.1	619 	NP_956963.1	603 
6075	XP_006004236.1	191 	NP_001003481.1	170 
6076	XP_006004250.1	1046	NP_001027010.1	1026
6077	XP_006004261.1	463 	XP_001343186.3	458 
6078	XP_006004263.1	2409	XP_001922676.1	2397
6079	XP_006004264.1	586 	XP_009290854.1	573 
6080	XP_006004265.1	1486	XP_003200287.2	1484
6081	XP_006004267.1	774 	NP_001018463.1	753 
6082	XP_006004272.1	165 	NP_001002427.1	165 
6083	XP_006004275.1	543 	NP_001123546.1	543 
6084	XP_006004278.1	570 	XP_009300088.1	543 
6085	XP_006004281.1	1258	XP_009303467.1	1258
6086	XP_006004293.1	256 	NP_001314742.1	234 
6087	XP_006004295.1	1270	XP_009298253.1	1251
6088	XP_006004298.1	280 	XP_021335878.1	280 
6089	XP_006004305.1	215 	XP_005157004.1	208 
6090	XP_006004311.1	439 	NP_001103578.1	442 
6091	XP_006004312.1	142 	XP_021326315.1	153 
6092	XP_006004314.1	706 	XP_688608.3	706 
6093	XP_006004315.1	512 	XP_017210081.1	512 
6094	XP_006004316.1	368 	NP_001108021.1	355 
6095	XP_006004318.1	699 	XP_688950.2	715 
6096	XP_006004319.1	1102	NP_956077.1	1105
6097	XP_006004321.1	385 	XP_021329033.1	385 
6098	XP_006004322.2	1292	XP_005163851.2	1270
6099	XP_006004323.1	204 	NP_775388.2	204 
6100	XP_006004325.1	304 	NP_001280621.1	304 
6101	XP_006004327.1	374 	NP_956874.1	397 
6102	XP_006004330.1	645 	XP_021332474.1	602 
6103	XP_006004333.1	237 	NP_001104672.1	237 
6104	XP_006004335.1	541 	XP_009294020.1	541 
6105	XP_006004336.1	520 	XP_009294021.1	520 
6106	XP_006004337.1	114 	NP_001136427.1	114 
6107	XP_006004338.1	209 	NP_996980.1	205 
6108	XP_006004339.1	251 	NP_001186669.1	241 
6109	XP_006004345.1	133 	NP_956556.1	126 
6110	XP_006004351.1	1048	XP_686613.2	1048
6111	XP_006004352.2	444 	NP_001017727.1	444 
6112	XP_006004353.1	355 	XP_698565.5	346 
6113	XP_006004354.1	177 	NP_001098996.1	177 
6114	XP_006004355.1	1388	XP_009300459.1	1374
6115	XP_006004359.1	447 	XP_696813.2	446 
6116	XP_006004368.1	917 	NP_001073649.1	931 
6117	XP_006004370.1	705 	XP_688938.2	677 
6118	XP_006004372.1	586 	NP_999918.1	586 
6119	XP_006004374.1	462 	XP_001340167.2	433 
6120	XP_006004386.1	1555	XP_021334516.1	1555
6121	XP_006004390.1	680 	XP_687430.2	682 
6122	XP_006004392.1	944 	XP_021326144.1	944 
6123	XP_006004399.1	406 	XP_001342693.3	401 
6124	XP_006004400.1	808 	NP_001003985.1	831 
6125	XP_006004403.1	962 	NP_001295492.1	975 
6126	XP_006004405.1	1728	XP_017213343.1	1727
6127	XP_006004411.1	124 	XP_005170196.1	114 
6128	XP_006004416.1	302 	XP_021323159.1	309 
6129	XP_006004417.1	530 	XP_021322908.1	530 
6130	XP_006004421.1	1045	NP_001164413.1	1068
6131	XP_006004429.2	520 	NP_001124065.1	528 
6132	XP_006004434.1	567 	XP_005171952.1	540 
6133	XP_006004436.1	277 	NP_571850.1	277 
6134	XP_006004437.2	313 	XP_005171893.1	314 
6135	XP_006004440.1	323 	XP_017211630.1	321 
6136	XP_006004441.1	310 	NP_001002118.1	310 
6137	XP_006004442.1	738 	XP_005171890.1	752 
6138	XP_006004444.1	568 	XP_687068.1	593 
6139	XP_006004445.1	402 	NP_997997.2	382 
6140	XP_006004447.1	682 	NP_963875.1	664 
6141	XP_006004454.1	333 	XP_005155736.1	333 
6142	XP_006004455.1	129 	XP_021325556.1	140 
6143	XP_006004456.1	640 	NP_991194.1	639 
6144	XP_006004458.1	483 	NP_001077032.1	462 
6145	XP_006004462.1	1018	NP_571514.2	1018
6146	XP_006004467.1	1004	XP_017208994.1	1004
6147	XP_006004471.1	513 	XP_005155725.1	526 
6148	XP_006004473.1	271 	XP_001920208.5	271 
6149	XP_006004481.1	2183	NP_001244125.1	2160
6150	XP_006004483.1	447 	NP_957239.2	447 
6151	XP_006004486.1	483 	NP_001036815.1	491 
6152	XP_006004493.1	369 	NP_001268390.1	369 
6153	XP_006004498.1	150 	XP_002667418.1	150 
6154	XP_006004499.1	439 	NP_001338637.1	440 
6155	XP_006004503.1	825 	XP_017212895.1	822 
6156	XP_006004507.1	159 	XP_005160091.1	159 
6157	XP_006004514.1	620 	NP_001103920.1	602 
6158	XP_006004520.1	448 	XP_001342883.4	467 
6159	XP_006004526.1	992 	NP_001243575.1	969 
6160	XP_006004530.1	457 	XP_021326389.1	458 
6161	XP_006004556.1	305 	NP_857636.1	318 
6162	XP_006004564.1	248 	NP_001002052.1	248 
6163	XP_006004567.1	595 	NP_001074052.1	595 
6164	XP_006004570.1	1062	NP_957219.2	1063
6165	XP_006004573.1	310 	NP_001038758.2	310 
6166	XP_006004574.1	252 	XP_002660878.1	252 
6167	XP_006004577.1	230 	NP_001002440.2	230 
6168	XP_006004580.1	724 	NP_996954.1	706 
6169	XP_006004581.1	1360	XP_021333204.1	1391
6170	XP_006004582.1	359 	XP_009301905.3	489 
6171	XP_006004584.1	298 	XP_005170972.1	308 
6172	XP_006004586.1	797 	XP_017212622.1	813 
6173	XP_006004587.1	195 	NP_571506.1	195 
6174	XP_006004588.1	58.9	XP_017209515.1	58.9
6175	XP_006004589.1	969 	XP_003201807.3	969 
6176	XP_006004590.2	189 	XP_005162917.1	187 
6177	XP_006004591.1	308 	NP_998316.1	308 
6178	XP_006004592.1	811 	NP_001002198.1	811 
6179	XP_006004594.1	268 	NP_001025346.1	245 
6180	XP_006004598.1	844 	NP_001008612.1	797 
6181	XP_006004599.1	282 	NP_001070785.1	282 
6182	XP_006004600.1	1315	NP_999874.1	1293
6183	XP_006004601.1	361 	XP_005171287.1	361 
6184	XP_006004611.1	298 	NP_001076278.1	289 
6185	XP_006004614.1	622 	NP_998643.1	592 
6186	XP_006004615.2	631 	XP_005165157.1	618 
6187	XP_006004616.1	305 	NP_001243613.1	309 
6188	XP_006004617.1	422 	NP_957268.1	422 
6189	XP_006004623.1	1565	XP_021332110.1	1544
6190	XP_006004626.1	242 	XP_689195.2	226 
6191	XP_006004627.1	390 	NP_001002084.1	375 
6192	XP_006004648.1	1142	XP_009290549.1	1122
6193	XP_006004649.1	1123	XP_009290551.1	1103
6194	XP_006004650.1	241 	NP_001076315.1	241 
6195	XP_006004652.1	258 	NP_991217.1	271 
6196	XP_006004653.2	261 	NP_001104707.1	273 
6197	XP_006004656.1	67.8	XP_017208308.1	67.8
6198	XP_006004660.1	161 	NP_001160156.1	168 
6199	XP_006004665.2	1266	XP_017212646.1	1243
6200	XP_006004667.1	336 	XP_003198233.1	336 
6201	XP_006004669.1	247 	NP_955829.1	247 
6202	XP_006004671.1	629 	XP_001331905.3	629 
6203	XP_006004681.1	516 	NP_955894.1	503 
6204	XP_006004685.1	428 	NP_001002188.1	457 
6205	XP_006004689.1	360 	XP_005160533.1	349 
6206	XP_006004690.2	147 	NP_001038238.1	147 
6207	XP_006004691.2	703 	NP_001025391.1	703 
6208	XP_006004695.1	1805	XP_021326517.1	1834
6209	XP_006004697.1	1101	XP_005173917.3	1123
6210	XP_006004698.1	110 	XP_021324616.1	89.0
6211	XP_006004699.1	536 	XP_005173914.1	537 
6212	XP_006004705.1	221 	NP_001071186.1	221 
6213	XP_006004707.2	1055	XP_021325728.1	1016
6214	XP_006004719.1	453 	NP_001019596.1	453 
6215	XP_006004721.1	216 	XP_005162934.1	216 
6216	XP_006004727.1	442 	XP_005155549.1	443 
6217	XP_006004728.1	404 	XP_005155555.1	404 
6218	XP_006004729.1	411 	XP_005155554.1	411 
6219	XP_006004730.1	395 	XP_005155553.1	395 
6220	XP_006004731.1	401 	XP_017213443.1	401 
6221	XP_006004734.1	316 	XP_009303337.2	316 
6222	XP_006004739.1	673 	NP_001313359.1	700 
6223	XP_006004741.1	229 	NP_957036.1	229 
6224	XP_006004742.1	493 	NP_001119910.1	518 
6225	XP_006004755.1	1217	XP_005173534.1	1254
6226	XP_006004756.1	1199	NP_999920.2	1236
6227	XP_006004763.2	605 	NP_001108586.1	605 
6228	XP_006004766.1	192 	XP_021334003.1	198 
6229	XP_006004778.1	244 	NP_001070857.1	262 
6230	XP_006004780.1	1267	XP_700087.4	1238
6231	XP_006004781.1	345 	NP_001073533.1	345 
6232	XP_006004786.1	497 	XP_005160905.1	504 
6233	XP_006004788.2	351 	NP_956682.1	351 
6234	XP_006004792.2	341 	NP_956204.2	351 
6235	XP_006004793.1	420 	NP_001159593.1	420 
6236	XP_006004794.1	408 	XP_005161075.1	404 
6237	XP_006004795.1	525 	XP_005173140.1	517 
6238	XP_006004798.1	461 	XP_021336609.1	441 
6239	XP_006004806.1	564 	NP_001070213.2	549 
6240	XP_006004808.1	113 	NP_001076402.1	113 
6241	XP_006004809.2	283 	NP_998559.1	283 
6242	XP_006004811.1	580 	XP_017207317.1	621 
6243	XP_006004812.1	325 	NP_001003442.1	325 
6244	XP_006004815.1	145 	NP_001188359.1	143 
6245	XP_006004817.1	323 	NP_001002627.1	323 
6246	XP_006004821.1	400 	NP_001077308.1	413 
6247	XP_006004826.1	352 	XP_700224.3	352 
6248	XP_006004835.1	251 	NP_001093549.1	268 
6249	XP_006004838.1	181 	NP_001289395.1	181 
6250	XP_006004846.1	1749	NP_001038348.1	1739
6251	XP_006004847.1	669 	NP_001006086.2	669 
6252	XP_006004848.1	1080	NP_998312.1	1080
6253	XP_006004851.1	744 	XP_021333811.1	742 
6254	XP_006004855.1	305 	NP_001004668.1	291 
6255	XP_006004857.1	325 	XP_005169738.1	304 
6256	XP_006004863.1	337 	NP_001025139.1	337 
6257	XP_006004864.1	693 	XP_009304684.1	693 
6258	XP_006004865.1	216 	XP_021326768.1	199 
6259	XP_006004867.1	331 	XP_005156179.1	339 
6260	XP_006004875.1	613 	NP_998277.2	613 
6261	XP_006004878.1	702 	NP_998175.2	713 
6262	XP_006004880.1	1198	XP_009302126.1	1165
6263	XP_006004881.1	1191	XP_696562.6	1161
6264	XP_006004884.1	532 	NP_001003980.1	532 
6265	XP_006004887.1	1204	NP_001073637.1	1204
6266	XP_006004893.1	825 	XP_002666923.1	827 
6267	XP_006004895.1	420 	XP_005164550.1	462 
6268	XP_006004897.1	617 	NP_001034979.1	617 
6269	XP_006004909.1	665 	NP_954975.1	671 
6270	XP_006004910.2	175 	NP_001013474.1	175 
6271	XP_006004911.1	662 	NP_956902.1	662 
6272	XP_006004912.1	223 	NP_001002579.1	223 
6273	XP_006004913.1	708 	XP_017207454.1	693 
6274	XP_006004917.1	114 	NP_001269068.1	114 
6275	XP_006004921.2	56.2	XP_005159240.1	56.2
6276	XP_006004923.1	326 	XP_005170974.1	326 
6277	XP_006004924.1	836 	XP_693816.8	823 
6278	XP_006004925.1	691 	XP_021326877.1	713 
6279	XP_006004932.1	156 	XP_003200703.1	156 
6280	XP_006004933.1	584 	XP_002665668.1	584 
6281	XP_006004934.1	479 	NP_001004112.1	479 
6282	XP_006004935.1	1053	NP_956900.1	1052
6283	XP_006004936.1	483 	XP_005169898.1	483 
6284	XP_006004947.1	843 	NP_001018481.2	843 
6285	XP_006004948.1	82.4	NP_001093576.2	82.4
6286	XP_006004949.1	468 	XP_005166883.1	467 
6287	XP_006004951.1	366 	NP_001004638.1	366 
6288	XP_006004952.2	216 	NP_001038754.1	216 
6289	XP_006004956.1	214 	NP_001030162.1	233 
6290	XP_006004960.1	221 	NP_957470.1	221 
6291	XP_006004970.1	281 	NP_001035412.1	290 
6292	XP_006004973.1	120 	NP_001076283.1	120 
6293	XP_006004975.1	653 	NP_001070642.1	653 
6294	XP_006004984.1	1503	XP_005156414.2	1578
6295	XP_006004985.1	752 	XP_001341280.3	774 
6296	XP_006004988.1	276 	NP_991241.1	270 
6297	XP_006004990.1	1074	NP_001188495.1	1068
6298	XP_006004991.2	779 	NP_001034728.2	779 
6299	XP_006004993.1	1143	XP_021336392.1	1163
6300	XP_006004994.1	545 	NP_571251.1	545 
6301	XP_006004995.1	374 	NP_001017606.1	374 
6302	XP_006004998.1	428 	XP_009303842.1	428 
6303	XP_006004999.1	427 	XP_009303841.1	427 
6304	XP_006005011.1	756 	NP_571344.1	790 
6305	XP_006005017.1	240 	XP_017213601.1	240 
6306	XP_006005033.1	1068	NP_956407.1	1074
6307	XP_006005039.1	448 	NP_001004120.1	438 
6308	XP_006005045.2	863 	XP_021322450.1	868 
6309	XP_006005046.1	212 	NP_001003467.1	212 
6310	XP_006005048.2	134 	XP_691674.2	134 
6311	XP_006005049.2	1144	XP_005163973.1	1125
6312	XP_006005056.1	1194	NP_001071273.1	1196
6313	XP_006005058.1	1169	XP_009302132.1	1172
6314	XP_006005060.1	1553	XP_694205.1	1579
6315	XP_006005062.1	266 	NP_001018660.1	266 
6316	XP_006005065.1	308 	XP_021335239.1	308 
6317	XP_006005072.1	938 	NP_571441.3	938 
6318	XP_006005074.1	883 	XP_021334782.1	883 
6319	XP_006005078.1	51.2	NP_001124059.1	36.2
6320	XP_006005084.1	1070	XP_021329580.1	1068
6321	XP_006005085.1	1072	XP_021329581.1	1071
6322	XP_006005087.1	1085	XP_021332132.1	1085
6323	XP_006005090.1	226 	XP_005156863.1	248 
6324	XP_006005097.1	368 	XP_021335683.1	374 
6325	XP_006005098.1	290 	NP_001157280.1	290 
6326	XP_006005099.1	300 	NP_001032199.1	300 
6327	XP_006005101.1	418 	XP_005158721.1	461 
6328	XP_006005106.1	130 	NP_775330.2	130 
6329	XP_006005107.1	236 	NP_001018593.1	236 
6330	XP_006005108.2	1876	NP_956812.2	1899
6331	XP_006005111.1	640 	XP_005156750.1	643 
6332	XP_006005113.1	284 	NP_001018335.1	284 
6333	XP_006005114.1	446 	NP_001116739.1	446 
6334	XP_006005115.1	187 	NP_001004639.2	183 
6335	XP_006005116.1	266 	NP_001002104.1	247 
6336	XP_006005119.1	523 	XP_005158912.1	539 
6337	XP_006005125.1	1544	XP_005166947.1	1547
6338	XP_006005126.1	1528	NP_001116177.1	1521
6339	XP_006005130.1	660 	XP_005160473.1	653 
6340	XP_006005131.1	491 	NP_001121738.1	491 
6341	XP_006005150.1	173 	NP_001012508.1	173 
6342	XP_006005159.2	314 	XP_005173781.1	314 
6343	XP_006005162.1	625 	XP_009295562.1	625 
6344	XP_006005166.1	86.7	NP_001153456.1	86.7
6345	XP_006005168.1	977 	XP_021328624.1	943 
6346	XP_006005170.1	308 	NP_001004580.1	296 
6347	XP_006005174.1	300 	NP_001038339.1	317 
6348	XP_006005182.1	343 	NP_001004553.1	343 
6349	XP_006005184.1	372 	NP_956842.2	388 
6350	XP_006005186.1	646 	NP_001017621.1	646 
6351	XP_006005191.1	186 	NP_001007060.1	172 
6352	XP_006005195.1	792 	NP_001018175.1	792 
6353	XP_006005196.1	644 	NP_997963.1	664 
6354	XP_006005202.1	362 	NP_001116761.1	362 
6355	XP_006005204.1	900 	XP_005170108.1	900 
6356	XP_006005210.2	830 	XP_002662910.3	824 
6357	XP_006005212.1	333 	XP_005169975.1	333 
6358	XP_006005216.2	612 	XP_021333602.1	610 
6359	XP_006005218.1	645 	XP_005169470.1	634 
6360	XP_006005219.1	702 	XP_005169468.1	691 
6361	XP_006005223.1	1011	NP_001338646.1	994 
6362	XP_006005229.1	270 	XP_005164407.1	274 
6363	XP_006005230.2	761 	NP_957180.1	761 
6364	XP_006005234.2	143 	XP_009291076.1	141 
6365	XP_006005240.1	484 	XP_002663834.2	620 
6366	XP_006005246.1	318 	XP_021325623.1	308 
6367	XP_006005247.1	414 	NP_001166113.1	427 
6368	XP_006005248.1	176 	XP_001341090.2	176 
6369	XP_006005249.1	491 	NP_001003477.1	491 
6370	XP_006005250.1	5875	XP_001919988.5	5866
6371	XP_006005251.1	1366	NP_001165868.1	1326
6372	XP_006005255.1	567 	NP_957346.1	567 
6373	XP_006005267.1	388 	NP_001002865.1	388 
6374	XP_006005270.1	486 	NP_001038819.1	486 
6375	XP_006005271.1	822 	XP_021334835.1	846 
6376	XP_006005274.1	178 	NP_001313296.1	172 
6377	XP_006005275.1	66.2	XP_001345005.1	89.0
6378	XP_006005276.1	1072	XP_005159960.1	1040
6379	XP_006005279.1	785 	XP_009289887.1	798 
6380	XP_006005281.1	593 	NP_997773.1	609 
6381	XP_006005282.1	107 	XP_002664142.2	107 
6382	XP_006005283.1	295 	XP_001332100.2	312 
6383	XP_006005287.1	529 	NP_001313629.1	530 
6384	XP_006005293.1	521 	NP_956928.1	552 
6385	XP_006005297.1	117 	XP_005162590.3	117 
6386	XP_006005298.1	405 	XP_021323724.1	383 
6387	XP_006005301.1	506 	XP_005159557.1	545 
6388	XP_006005311.1	195 	NP_956228.1	195 
6389	XP_006005312.1	442 	NP_001038539.1	442 
6390	XP_006005313.1	298 	XP_001922355.3	298 
6391	XP_006005315.1	613 	NP_001082821.1	594 
6392	XP_006005316.1	238 	NP_001122208.1	238 
6393	XP_006005319.1	342 	XP_005165978.1	342 
6394	XP_006005321.1	211 	NP_001030161.1	211 
6395	XP_006005324.1	301 	NP_001002079.1	301 
6396	XP_006005325.1	504 	NP_001107100.1	504 
6397	XP_006005331.1	546 	XP_009302869.1	549 
6398	XP_006005338.1	1011	XP_021333939.1	1013
6399	XP_006005344.1	1276	XP_009296175.1	1290
6400	XP_006005347.1	538 	NP_001002229.2	549 
6401	XP_006005351.1	503 	XP_021325770.1	503 
6402	XP_006005353.1	44.7	NP_001268914.1	43.9
6403	XP_006005354.1	600 	XP_005171825.1	599 
6404	XP_006005356.1	367 	NP_998022.1	369 
6405	XP_006005360.1	303 	XP_021328874.1	303 
6406	XP_006005364.1	204 	XP_021325696.1	205 
6407	XP_006005366.1	70.1	XP_692960.1	75.9
6408	XP_006005377.1	2335	XP_693953.2	2351
6409	XP_006005379.1	322 	NP_001186296.1	322 
